namespace,dc_name,container_name,container_image,replicas,minReplicas,maxReplicas,max_cpu,max_memory
3scale-apimgmt-demo,gateway,gateway,quay.io/3scale/gateway@sha256:88f07bffaf022b9f5e5c11c337e4932b89a2263ce5f4add3302d457c9a6a6cac,0,,,-1,-1
beta-oshinko,graaftel,graaftel,172.30.203.52:5000/beta-oshinko/graaftel@sha256:87fbccf5429b3cbc8e3d2e633a1b03b22321ae468c9102835bb102a5ba221623,0,,,-1,-1
beta-oshinko,graaftel-cluster-m,graaftel-cluster-m,radanalyticsio/openshift-spark,0,,,-1,-1
beta-oshinko,graaftel-cluster-w,graaftel-cluster-w,radanalyticsio/openshift-spark,0,,,-1,-1
beta-oshinko,oshinko,oshinko-rest,radanalyticsio/oshinko-rest,0,,,-1,-1
beta-oshinko,oshinko,oshinko-webui,radanalyticsio/oshinko-webui,0,,,-1,-1
beta-oshinko,producer,producer,172.30.203.52:5000/beta-oshinko/producer@sha256:bbdc698a39e660be860ffdc87e7edc1ab4fbb22c7ac0c40dac30a07939d6f97d,0,,,-1,-1
chatops,openshift-hubot,openshift-hubot,172.30.203.52:5000/chatops/openshift-hubot@sha256:2854f6e2c31a6a58ef3206741ac969e117c9d0f19e693d7e59c2771cada36b09,0,,,-1,-1
ci,jenkins,jenkins,docker.io/library/jenkins@sha256:e6f668256b6a048e7041d0bb636425fdd45f50559f23633cb94a9baea59578ee,0,,,-1,1Gi
cloudforms,cloudforms,cloudforms,registry.access.redhat.com/cloudforms/cfme-openshift-app@sha256:c7c2fcdd535f9787981d27f092b8254eea20a9fc7464087954e76ab45a12e72e,1,,,-1,-1
cloudforms,memcached,memcached,registry.access.redhat.com/cloudforms/cfme-openshift-memcached@sha256:2e9a764864950ca11a18318a68a11e9c8f78b7e3508d8fa73e6e9cf096bc2934,0,,,-1,256Mi
cloudforms,postgresql,postgresql,registry.access.redhat.com/cloudforms/cfme-openshift-postgresql@sha256:dd3c4268b1a00dc8d9a4eb7329692ce685febb8c7a2cb325ebc0eff1cef528ba,0,,,-1,2Gi
cloudforms-cfme,cfme4,cfme4,registry.access.redhat.com/cloudforms/cfme4@sha256:85c2b23b3389b5d91f2d7889caf0e67f5cefc0dab2a5db5124d4d24ab3ebffd7,0,,,-1,-1
datagrid-demo01,datagrid-app,datagrid-app,registry.access.redhat.com/jboss-datagrid-6/datagrid65-openshift@sha256:4be2aafea24df762bb3cad52800a957b9280576bcdf65c4d92bfc64c2f1a6c54,1,,,250m,1250Mi
datagrid-demo01,webapp,webapp,172.30.203.52:5000/datagrid-demo01/webapp@sha256:f098eff1dee705fb7d1af4014343b8665c9cc4789cd0ebcd521e60c1b9cd10ea,1,,,100m,1Gi
default,docker-registry,registry,openshift3/ose-docker-registry:v3.3.0.34,1,,,-1,-1
default,registry-console,registry-console,registry.access.redhat.com/openshift3/registry-console:3.3,1,,,-1,-1
default,router,router,openshift3/ose-haproxy-router:v3.3.0.34,1,,,-1,-1
dotnet-demo01,asp-example,asp-example,172.30.203.52:5000/dotnet-demo01/asp-example@sha256:d131f868f9290bf7a5ee88822c38915fff9c0f4a1e31144c3c3abd0a522c93c2,1,,,-1,-1
fis-demo1,fis-java-s2i,fis-java-s2i,172.30.203.52:5000/fis-demo1/fis-java-s2i@sha256:45042a82abcaa71c9c64089e62d83baa8c944f77a5a37a7291ade05e083a2bfc,0,,,-1,-1
gitlab,gitlab-ce,gitlab-ce,gitlab/gitlab-ce@sha256:0df24ff63479d0b1c05088f04794e42286f10638e2be32bd9694d01fe3816bc1,1,,,1,2Gi
gitlab,gitlab-ce-postgresql,gitlab-ce-postgresql,registry.access.redhat.com/rhscl/postgresql-95-rhel7@sha256:a0bfc4aa195737c802988f7c636073644d7a821061d801004277c98d776c9cbf,1,,,1,512Mi
gitlab,gitlab-ce-redis,gitlab-ce-redis,redis@sha256:49e794b32c129d1ab1ee9f99c0e602f57ea1329aebe641843e0743c8ee336a7e,1,,,1,512Mi
jboss-eap-quickstart,kitchensink,kitchensink,172.30.203.52:5000/jboss-eap-quickstart/kitchensink@sha256:a61789dad8b0ca905874067caedcfb3d17d99311761c11325b3ab22092210436,0,,,-1,-1
jdv-dataservices-demo,datavirt63-openshift,datavirt63-openshift,registry.access.redhat.com/jboss-datavirt-6/datavirt63-openshift@sha256:31fe1450b0e6de5b5b987634dee9c2353273bf5bbd8dc9e7f18745ba5ccfc6ed,0,,,-1,-1
jdv-dataservices-demo,jdv-app-dataservices,jdv-app-dataservices,172.30.203.52:5000/jdv-dataservices-demo/jdv-app-dataservices@sha256:a0f3791608eada49ec8303254cadeb838e9443f0800b9cbbef4e93c9b411bc80,1,,,-1,-1
optum-rd-demo,smoke-php,smoke-php,172.30.203.52:5000/optum-rd-demo/smoke-php@sha256:42db5dbda66c62ccd45b52a76dac152d9e6d3b8c8cb333e8270e19182410479c,2,,,-1,-1
php-demo01,bluegreen,bluegreen,172.30.203.52:5000/php-demo01/bluegreen:green,1,,,-1,-1
php-demo01,bluelbue,bluelbue,172.30.203.52:5000/php-demo01/bluegreen:blue,1,,,-1,-1
php-demo01,jenkins,jenkins,registry.access.redhat.com/openshift3/jenkins-1-rhel7@sha256:5827c32e10233f75fb26d82f37bd1a3ad460f06079c7a71a76b795afef22dcf1,1,,,-1,512Mi
rhcs-mortgage-demo,rhcs-mortgage-demo,rhcs-mortgage-demo,172.30.203.52:5000/rhcs-mortgage-demo/rhcs-mortgage-demo@sha256:4d80ceddbed86e0343d8dc37489c3036e6ed6d1dd557d8c2dcfab42209f85198,0,,,2,2G
springboot-sti-demo,helloworld-mvn,helloworld-mvn,172.30.203.52:5000/springboot-sti-demo/helloworld-mvn@sha256:57a7acd1109e7ecbd6bb20679672dd7f33858b327a5f975b14e2364281fb6b9e,0,,,400m,1G
