namespace,pod_name,container_name,container_image,max_cpu,max_memory
beta-oshinko,beta-oshinko-m-1-deploy,deployment,openshift3/ose-deployer:v3.3.0.34,-1,-1
beta-oshinko,beta-oshinko-w-1-deploy,deployment,openshift3/ose-deployer:v3.3.0.34,-1,-1
beta-oshinko,graaftel-1-build,sti-build,openshift3/ose-sti-builder:v3.3.0.34,-1,-1
beta-oshinko,producer-1-build,sti-build,openshift3/ose-sti-builder:v3.3.0.34,-1,-1
chatops,openshift-hubot-7-build,docker-build,openshift3/ose-docker-builder:v3.3.0.34,-1,-1
chatops,openshift-hubot-8-build,docker-build,openshift3/ose-docker-builder:v3.3.0.34,-1,-1
chatops,openshift-hubot-9-build,docker-build,openshift3/ose-docker-builder:v3.3.0.34,-1,-1
cloudforms,cloudforms-1-deploy,deployment,openshift3/ose-deployer:v3.3.1.5,-1,-1
cloudforms,cloudforms-3-deploy,deployment,openshift3/ose-deployer:v3.3.1.5,-1,-1
datagrid-demo01,datagrid-app-3-di1ds,datagrid-app,registry.access.redhat.com/jboss-datagrid-6/datagrid65-openshift@sha256:4be2aafea24df762bb3cad52800a957b9280576bcdf65c4d92bfc64c2f1a6c54,-1,-1
datagrid-demo01,webapp-1-build,sti-build,openshift3/ose-sti-builder:v3.3.1.5,-1,-1
datagrid-demo01,webapp-4-davmx,webapp,172.30.203.52:5000/datagrid-demo01/webapp@sha256:f098eff1dee705fb7d1af4014343b8665c9cc4789cd0ebcd521e60c1b9cd10ea,-1,-1
default,docker-registry-8-nvskt,registry,openshift3/ose-docker-registry:v3.3.0.34,-1,-1
default,registry-console-1-3cebn,registry-console,registry.access.redhat.com/openshift3/registry-console:3.3,-1,-1
default,router-1-s5zk6,router,openshift3/ose-haproxy-router:v3.3.0.34,-1,-1
dotnet-demo01,asp-example-1-build,sti-build,openshift3/ose-sti-builder:v3.3.0.34,-1,-1
dotnet-demo01,asp-example-2-0owm7,asp-example,172.30.203.52:5000/dotnet-demo01/asp-example@sha256:d131f868f9290bf7a5ee88822c38915fff9c0f4a1e31144c3c3abd0a522c93c2,-1,-1
dotnet-demo01,asp-example-2-build,sti-build,openshift3/ose-sti-builder:v3.3.0.34,-1,-1
dotnet-demo01,asp-example-3-build,sti-build,openshift3/ose-sti-builder:v3.3.1.5,-1,-1
fis-demo1,fis-java-s2i-1-build,sti-build,openshift3/ose-sti-builder:v3.3.1.5,-1,-1
fis-demo1,fis-java-s2i-2-build,sti-build,openshift3/ose-sti-builder:v3.3.1.5,-1,-1
fis-demo1,fis-karaf-s2i-1-deploy,deployment,openshift3/ose-deployer:v3.3.1.5,-1,-1
gitlab,gitlab-ce-3-258g1,gitlab-ce,gitlab/gitlab-ce@sha256:0df24ff63479d0b1c05088f04794e42286f10638e2be32bd9694d01fe3816bc1,-1,-1
gitlab,gitlab-ce-postgresql-1-cvcv2,gitlab-ce-postgresql,registry.access.redhat.com/rhscl/postgresql-95-rhel7@sha256:a0bfc4aa195737c802988f7c636073644d7a821061d801004277c98d776c9cbf,-1,-1
gitlab,gitlab-ce-redis-1-casf0,gitlab-ce-redis,redis@sha256:49e794b32c129d1ab1ee9f99c0e602f57ea1329aebe641843e0743c8ee336a7e,-1,-1
jboss-eap-quickstart,kitchensink-1-build,sti-build,openshift3/ose-sti-builder:v3.3.0.34,-1,-1
jdv-dataservices-demo,datavirt63-openshift-1-build,docker-build,openshift3/ose-docker-builder:v3.3.0.34,-1,-1
jdv-dataservices-demo,jdv-app-dataservices-3-build,sti-build,openshift3/ose-sti-builder:v3.3.0.34,-1,-1
jdv-dataservices-demo,jdv-app-dataservices-7-build,sti-build,openshift3/ose-sti-builder:v3.3.0.34,-1,-1
jdv-dataservices-demo,jdv-app-dataservices-8-build,sti-build,openshift3/ose-sti-builder:v3.3.0.34,-1,-1
openshift-infra,hawkular-cassandra-1-0b9gp,hawkular-cassandra-1,registry.access.redhat.com/openshift3/metrics-cassandra:3.3.0,-1,-1
openshift-infra,hawkular-metrics-r094e,hawkular-metrics,registry.access.redhat.com/openshift3/metrics-hawkular-metrics:3.3.0,-1,-1
openshift-infra,heapster-845es,heapster,registry.access.redhat.com/openshift3/metrics-heapster:3.3.0,-1,-1
openshift-infra,metrics-deployer-elgii,deployer,registry.access.redhat.com/openshift3/metrics-deployer:3.3.0,-1,-1
openshift-infra,recycler-for-pv0007,pv-recycler,openshift3/ose-recycler:v3.3.0.34,-1,-1
optum-rd-demo,smoke-php-1-build,sti-build,openshift3/ose-sti-builder:v3.3.1.5,-1,-1
optum-rd-demo,smoke-php-1-ujzi5,smoke-php,172.30.203.52:5000/optum-rd-demo/smoke-php@sha256:42db5dbda66c62ccd45b52a76dac152d9e6d3b8c8cb333e8270e19182410479c,-1,-1
optum-rd-demo,smoke-php-1-vy9a9,smoke-php,172.30.203.52:5000/optum-rd-demo/smoke-php@sha256:42db5dbda66c62ccd45b52a76dac152d9e6d3b8c8cb333e8270e19182410479c,-1,-1
php-demo01,blueblue-21-build,sti-build,openshift3/ose-sti-builder:v3.3.0.34,-1,-1
php-demo01,blueblue-22-build,sti-build,openshift3/ose-sti-builder:v3.3.0.34,-1,-1
php-demo01,blueblue-23-build,sti-build,openshift3/ose-sti-builder:v3.3.1.5,-1,-1
php-demo01,blueblue-24-build,sti-build,openshift3/ose-sti-builder:v3.3.1.5,-1,-1
php-demo01,blueblue-25-build,sti-build,openshift3/ose-sti-builder:v3.3.1.5,-1,-1
php-demo01,blueblue-26-build,sti-build,openshift3/ose-sti-builder:v3.3.1.5,-1,-1
php-demo01,blueblue-27-build,sti-build,openshift3/ose-sti-builder:v3.3.1.5,-1,-1
php-demo01,blueblue-28-build,sti-build,openshift3/ose-sti-builder:v3.3.1.5,-1,-1
